title,url,writers
Being Human ,https://imsdb.com/genre/Comedy/Movie s/Being Human .html,Bill Forsyth
Being John Malkovich ,https://imsdb.com/genre/Comedy/Movie s/Being John Malkovich .html,Charlie Kaufman
Being There ,https://imsdb.com/genre/Comedy/Movie s/Being There .html,"Jerry Kosinski, Robert C. Jones"
Belle,https://imsdb.com/genre/Romance/Movie Scripts/Belle Script.html,Misan Sagay
"Best Exotic Marigold Hotel, The ","https://imsdb.com/genre/Comedy/Movie s/Best Exotic Marigold Hotel, The .html",Ol Parker
Big ,https://imsdb.com/genre/Comedy/Movie s/Big .html,"Gary Ross, Anne Spielberg"
"Big Blue, The","https://imsdb.com/genre/Romance/Movie Scripts/Big Blue, The Script.html","Luc Besson, Robert Garland"
Big Fish ,https://imsdb.com/genre/Comedy/Movie s/Big Fish .html,"Daniel Wallace, John August"
"Big Lebowski, The ","https://imsdb.com/genre/Comedy/Movie s/Big Lebowski, The .html","Joel Coen, Ethan Coen"
"Big Sick, The ","https://imsdb.com/genre/Comedy/Movie s/Big Sick, The .html","Emily V. Gordon, Kumail Nanjiani"
"Big White, The ","https://imsdb.com/genre/Comedy/Movie s/Big White, The .html",Collin Friesen
Birdman,https://imsdb.com/genre/Romance/Movie Scripts/Birdman Script.html,"Alejandro G. Inarritu, Nicolas Giacobone, Alexander Dinelaris Jr., Armando Bo"
"Birds, The","https://imsdb.com/genre/Romance/Movie Scripts/Birds, The Script.html","Daphne Du Maurier, Evan Hunter"
Birthday Girl ,https://imsdb.com/genre/Comedy/Movie s/Birthday Girl .html,"Tom Butterworth, Jez Butterworth"
"Blast from the Past, The","https://imsdb.com/genre/Romance/Movie Scripts/Blast from the Past, The Script.html","Bill Kelly, Hugh Wilson"
Blue Valentine,https://imsdb.com/genre/Romance/Movie Scripts/Blue Valentine Script.html,"Derek Cianfrance, Cami Delavigne, Joey Curtis"
Body of Evidence,https://imsdb.com/genre/Romance/Movie Scripts/Body of Evidence Script.html,Brad Mirman
Bodyguard,https://imsdb.com/genre/Romance/Movie Scripts/Bodyguard Script.html,Lawrence Kasdan
Bonfire of the Vanities ,https://imsdb.com/genre/Comedy/Movie s/Bonfire of the Vanities .html,Michael Cristofer
Bonnie and Clyde,https://imsdb.com/genre/Romance/Movie Scripts/Bonnie and Clyde Script.html,"David Newman, Robert Benton"
