title,url,writers
Jay and Silent Bob Strike Back ,https://imsdb.com/genre/Comedy/Movie s/Jay and Silent Bob Strike Back .html,Kevin Smith
Jennifer's Body ,https://imsdb.com/genre/Comedy/Movie s/Jennifer's Body .html,Diablo Cody
Jerry Maguire ,https://imsdb.com/genre/Comedy/Movie s/Jerry Maguire .html,Cameron Crowe
Juno,https://imsdb.com/genre/Romance/Movie Scripts/Juno Script.html,Diablo Cody
"Kids Are All Right, The ","https://imsdb.com/genre/Comedy/Movie s/Kids Are All Right, The .html","Lisa Cholodenko, Stuart Blumberg"
Kill Your Darlings,https://imsdb.com/genre/Romance/Movie Scripts/Kill Your Darlings Script.html,"John Krokidas, Austin Bunn"
"King of Comedy, The ","https://imsdb.com/genre/Comedy/Movie s/King of Comedy, The .html",Paul D. Zimmerman
Knocked Up,https://imsdb.com/genre/Romance/Movie Scripts/Knocked Up Script.html,Judd Apatow
Kung Fu Panda ,https://imsdb.com/genre/Comedy/Movie s/Kung Fu Panda .html,"Jonathan Aibel, Glenn Berger"
La La Land ,https://imsdb.com/genre/Comedy/Movie s/La La Land .html,Damien Chazelle
Labor of Love,https://imsdb.com/genre/Romance/Movie Scripts/Labor of Love Script.html,M. Night Shyamalan
"Ladykillers, The ","https://imsdb.com/genre/Comedy/Movie s/Ladykillers, The .html","William Rose, Joel Coen, Ethan Coen"
Lake Placid ,https://imsdb.com/genre/Comedy/Movie s/Lake Placid .html,David E Kelley
Larry Crowne ,https://imsdb.com/genre/Comedy/Movie s/Larry Crowne .html,Tom Hanks
Last Chance Harvey,https://imsdb.com/genre/Romance/Movie Scripts/Last Chance Harvey Script.html,Joel Hopkins
"Last of the Mohicans, The","https://imsdb.com/genre/Romance/Movie Scripts/Last of the Mohicans, The Script.html","Michael Mann, Christopher Crowe"
Last Tango in Paris,https://imsdb.com/genre/Romance/Movie Scripts/Last Tango in Paris Script.html,"Bernardo Bertolucci, Franco Arcalli"
Le Diable par la Queue ,https://imsdb.com/genre/Comedy/Movie s/Le Diable par la Queue .html,"Daniel Boulanger, Claude Sautet"
Leaving Las Vegas,https://imsdb.com/genre/Romance/Movie Scripts/Leaving Las Vegas Script.html,"Mike Figgis, John O'Brian"
Legally Blonde ,https://imsdb.com/genre/Comedy/Movie s/Legally Blonde .html,"Karen McCullah Lutz, Kirsten Smith"
Legend,https://imsdb.com/genre/Romance/Movie Scripts/Legend Script.html,William Hjortsberg
Les Miserables,https://imsdb.com/genre/Romance/Movie Scripts/Les Miserables Script.html,"William Nicholson, Alain Boublil, Claude- Michel Schonberg, Herbert Kretzmer"
Les Tontons Flingueurs ,https://imsdb.com/genre/Comedy/Movie s/Les Tontons Flingueurs .html,"Michel Audiard, Georges Lautner, Albert Simonin"
Liar Liar ,https://imsdb.com/genre/Comedy/Movie s/Liar Liar .html,"Tom Shadyac, Mike Binder"
Life ,https://imsdb.com/genre/Comedy/Movie s/Life .html,"Robert Ramsey, Matthew Stone"
Life As A House ,https://imsdb.com/genre/Comedy/Movie s/Life As A House .html,Mark Andrus
Little Athens ,https://imsdb.com/genre/Comedy/Movie s/Little Athens .html,"Jeff Zuber, Tom Zuber"
"Little Mermaid, The","https://imsdb.com/genre/Romance/Movie Scripts/Little Mermaid, The Script.html","Roger Allers, Hans Christian Andersen, Howard Ashman, Ron Clements, John Musker"
Little Nicky ,https://imsdb.com/genre/Comedy/Movie s/Little Nicky .html,"Tim Herlihy, Adam Sandler, Steven Brill"
Living in Oblivion ,https://imsdb.com/genre/Comedy/Movie s/Living in Oblivion .html,Tom DiCillo
"Lock, Stock and Two Smoking Barrels ","https://imsdb.com/genre/Comedy/Movie s/Lock, Stock and Two Smoking Barrels .html",Guy Ritchie
Lost in Translation ,https://imsdb.com/genre/Comedy/Movie s/Lost in Translation .html,Sofia Coppola
Love and Basketball,https://imsdb.com/genre/Romance/Movie Scripts/Love and Basketball Script.html,Gina Prince-Bythewood
Made ,https://imsdb.com/genre/Comedy/Movie s/Made .html,Jon Favreau
"Majestic, The (The Bijou)","https://imsdb.com/genre/Romance/Movie Scripts/Majestic, The (The Bijou) Script.html",Michael Slone
Major League ,https://imsdb.com/genre/Comedy/Movie s/Major League .html,David S. Ward
Malibu's Most Wanted ,https://imsdb.com/genre/Comedy/Movie s/Malibu's Most Wanted .html,"Fax Bahr, Adam Small, Jamie Kennedy, Nick Swardson"
Man on the Moon ,https://imsdb.com/genre/Comedy/Movie s/Man on the Moon .html,"Scott Alexander, Larry Karaszewski"
Man Trouble,https://imsdb.com/genre/Romance/Movie Scripts/Man Trouble Script.html,Carole Eastman
"Man Who Wasn't There, The ","https://imsdb.com/genre/Comedy/Movie s/Man Who Wasn't There, The .html","Joel Coen, Ethan Coen"
Manhattan Murder Mystery ,https://imsdb.com/genre/Comedy/Movie s/Manhattan Murder Mystery .html,"Woody Allen, Marshall Brickman"
Margot at the Wedding ,https://imsdb.com/genre/Comedy/Movie s/Margot at the Wedding .html,Noah Baumbach
Marty,https://imsdb.com/genre/Romance/Movie Scripts/Marty Script.html,Paddy Chayefsky
Mary Poppins ,https://imsdb.com/genre/Comedy/Movie s/Mary Poppins .html,"Bill Walsh, Don DaGradi"
"Mask, The","https://imsdb.com/genre/Romance/Movie Scripts/Mask, The Script.html",Mark Verheiden
Meet Joe Black,https://imsdb.com/genre/Romance/Movie Scripts/Meet Joe Black Script.html,"Bo Goldman, Ron Osborn, Jeff Reno, Kevin Wade"
Meet John Doe ,https://imsdb.com/genre/Comedy/Movie s/Meet John Doe .html,"Richard Connell, Robert Presnell Sr."
Megamind ,https://imsdb.com/genre/Comedy/Movie s/Megamind .html,"Alan Schoolcraft, Brent Simons"
Men in Black ,https://imsdb.com/genre/Comedy/Movie s/Men in Black .html,"Lowell Cunningham, Ed Solomon"
Men in Black 3 ,https://imsdb.com/genre/Comedy/Movie s/Men in Black 3 .html,"Etan Cohen, Lowell Cunningham"
"Men Who Stare at Goats, The ","https://imsdb.com/genre/Comedy/Movie s/Men Who Stare at Goats, The .html","Peter Straughan, Jon Ronson"
Midnight in Paris,https://imsdb.com/genre/Romance/Movie Scripts/Midnight in Paris Script.html,Woody Allen
Mini's First Time ,https://imsdb.com/genre/Comedy/Movie s/Mini's First Time .html,Nick Guthe
Monkeybone ,https://imsdb.com/genre/Comedy/Movie s/Monkeybone .html,"Sam Hamm, Kaja Blackley, Vanessa Chong"
Monte Carlo,https://imsdb.com/genre/Romance/Movie Scripts/Monte Carlo Script.html,Ron Bass
Moonrise Kingdom ,https://imsdb.com/genre/Comedy/Movie s/Moonrise Kingdom .html,"Wes Anderson, Roman Coppola"
Moonstruck,https://imsdb.com/genre/Romance/Movie Scripts/Moonstruck Script.html,John Patrick Shanley
Mr Blandings Builds His Dream House ,https://imsdb.com/genre/Comedy/Movie s/Mr Blandings Builds His Dream House .html,"Melvin Frank, Norman Panama"
Mr Deeds Goes to Town ,https://imsdb.com/genre/Comedy/Movie s/Mr Deeds Goes to Town .html,"Clarence Budington Kelland, Robert Riskin"
Mrs. Brown,https://imsdb.com/genre/Romance/Movie Scripts/Mrs. Brown Script.html,Jeremy Brock
Mulan ,https://imsdb.com/genre/Comedy/Movie s/Mulan .html,Robert D. San Souci
Mulholland Drive,https://imsdb.com/genre/Romance/Movie Scripts/Mulholland Drive Script.html,David Lynch
Mumford ,https://imsdb.com/genre/Comedy/Movie s/Mumford .html,Lawrence Kasdan
My Best Friend's Wedding,https://imsdb.com/genre/Romance/Movie Scripts/My Best Friend's Wedding Script.html,Ronald Bass
My Girl ,https://imsdb.com/genre/Comedy/Movie s/My Girl .html,Laurice Elehwany
Mystery Men ,https://imsdb.com/genre/Comedy/Movie s/Mystery Men .html,Neil Cuthbert
Natural Born Killers,https://imsdb.com/genre/Romance/Movie Scripts/Natural Born Killers Script.html,"Quentin Tarantino, David Veloz, Richard Rutowski, Oliver Stone"
Never Been Kissed,https://imsdb.com/genre/Romance/Movie Scripts/Never Been Kissed Script.html,"Jerry Bicks, Abby Kohn, Marc Silverstein"
New York Minute ,https://imsdb.com/genre/Comedy/Movie s/New York Minute .html,Emily Fox
Next Friday ,https://imsdb.com/genre/Comedy/Movie s/Next Friday .html,Ice Cube
"Next Three Days, The","https://imsdb.com/genre/Romance/Movie Scripts/Next Three Days, The Script.html",Paul Haggis
Ni vu ni connu ,https://imsdb.com/genre/Comedy/Movie s/Ni vu ni connu .html,"Alphonse Allais, Jacques Celhay, Jean Marsan, Yves Robert"
"Nightmare Before Christmas, The ","https://imsdb.com/genre/Comedy/Movie s/Nightmare Before Christmas, The .html",Caroline Thompson
"Nightmare on Elm Street, A ","https://imsdb.com/genre/Comedy/Movie s/Nightmare on Elm Street, A .html",Wes Craven
Nightmare on Elm Street: The Final Chapter ,https://imsdb.com/genre/Comedy/Movie s/Nightmare on Elm Street: The Final Chapter .html,"Wes Craven, Rachel Talalay"
Nine,https://imsdb.com/genre/Romance/Movie Scripts/Nine Script.html,"Michael Tolkin, Anthony Minghella"
Ninotchka ,https://imsdb.com/genre/Comedy/Movie s/Ninotchka .html,"Melchior Lengyel, Charles Brackett, Billy Wilder, Walter Reisch"
No Strings Attached ,https://imsdb.com/genre/Comedy/Movie s/No Strings Attached .html,Elizabeth Meriwether
Notting Hill,https://imsdb.com/genre/Romance/Movie Scripts/Notting Hill Script.html,Richard Curtis
Nurse Betty ,https://imsdb.com/genre/Comedy/Movie s/Nurse Betty .html,"John C. Richards, James Flamberg"
Observe and Report ,https://imsdb.com/genre/Comedy/Movie s/Observe and Report .html,Jody Hill
Ocean's Eleven ,https://imsdb.com/genre/Comedy/Movie s/Ocean's Eleven .html,"Ted Griffin, George Clayton Johnson, Jack Golden Russell, Harry Brown, Charles Lederer"
Ocean's Twelve ,https://imsdb.com/genre/Comedy/Movie s/Ocean's Twelve .html,George Nolfi
Office Space ,https://imsdb.com/genre/Comedy/Movie s/Office Space .html,Mike Judge
"Other Boleyn Girl, The","https://imsdb.com/genre/Romance/Movie Scripts/Other Boleyn Girl, The Script.html","Peter Morgan, Philippa Gregory"
Out of Sight,https://imsdb.com/genre/Romance/Movie Scripts/Out of Sight Script.html,Scott Frank
"Pacifier, The ","https://imsdb.com/genre/Comedy/Movie s/Pacifier, The .html","Thomas Lennon, Robert Ben Garant, Jason Fulardi"
Papadopoulos & Sons ,https://imsdb.com/genre/Comedy/Movie s/Papadopoulos & Sons .html,Marcus Markou
ParaNorman ,https://imsdb.com/genre/Comedy/Movie s/ParaNorman .html,Chris Butler
Passengers,https://imsdb.com/genre/Romance/Movie Scripts/Passengers Script.html,Jon Spaihts
Paul ,https://imsdb.com/genre/Comedy/Movie s/Paul .html,"Simon Pegg, Nick Frost"
Pearl Harbor,https://imsdb.com/genre/Romance/Movie Scripts/Pearl Harbor Script.html,Randall Wallace
Peggy Sue Got Married ,https://imsdb.com/genre/Comedy/Movie s/Peggy Sue Got Married .html,"Jerry Leichtling, Arlene Sarner"
"Perks of Being a Wallflower, The","https://imsdb.com/genre/Romance/Movie Scripts/Perks of Being a Wallflower, The Script.html",Stephen Chbosky
"Piano, The","https://imsdb.com/genre/Romance/Movie Scripts/Piano, The Script.html",Jane Campion
Pineapple Express ,https://imsdb.com/genre/Comedy/Movie s/Pineapple Express .html,"Judd Apatow, Seth Rogen, Evan Goldberg"
Pirates of the Caribbean ,https://imsdb.com/genre/Comedy/Movie s/Pirates of the Caribbean .html,"Ted Elliot, Terry Rossio"
Pirates of the Caribbean: Dead Man's Chest ,https://imsdb.com/genre/Comedy/Movie s/Pirates of the Caribbean: Dead Man's Chest .html,"Ted Elliott, Terry Rossio"
Platinum Blonde ,https://imsdb.com/genre/Comedy/Movie s/Platinum Blonde .html,"Harry E. Chandlee, Douglas W. Churchill, Robert Riskin"
Pleasantville ,https://imsdb.com/genre/Comedy/Movie s/Pleasantville .html,Gary Ross
Pretty Woman ,https://imsdb.com/genre/Comedy/Movie s/Pretty Woman .html,J.F. Lawton
Pretty Woman (final ) ,https://imsdb.com/genre/Comedy/Movie s/Pretty Woman (final ) .html,Jonathan Frederick Lawton
Pretty Woman (final script),https://imsdb.com/genre/Romance/Movie Scripts/Pretty Woman (final script) Script.html,Jonathan Frederick Lawton
Pride and Prejudice,https://imsdb.com/genre/Romance/Movie Scripts/Pride and Prejudice Script.html,Deborah Moggach
"Princess Bride, The ","https://imsdb.com/genre/Comedy/Movie s/Princess Bride, The .html",William Goldman
"Private Life of Sherlock Holmes, The ","https://imsdb.com/genre/Comedy/Movie s/Private Life of Sherlock Holmes, The .html","Billy Wilder, I.A.L Diamond"
"Producer, The ","https://imsdb.com/genre/Comedy/Movie s/Producer, The .html",Mel Brooks
"Proposal, The","https://imsdb.com/genre/Romance/Movie Scripts/Proposal, The Script.html",Pete Chiarelli
Punch-Drunk Love ,https://imsdb.com/genre/Comedy/Movie s/Punch-Drunk Love .html,Paul Thomas Anderson
Rachel Getting Married,https://imsdb.com/genre/Romance/Movie Scripts/Rachel Getting Married Script.html,Jenny Lumet
Raising Arizona ,https://imsdb.com/genre/Comedy/Movie s/Raising Arizona .html,"Joel Coen, Ethan Coen"
"Reader, The","https://imsdb.com/genre/Romance/Movie Scripts/Reader, The Script.html","David Hare, Bernhard Schlink"
Real Genius ,https://imsdb.com/genre/Comedy/Movie s/Real Genius .html,"Neal Israel, Pat Proft, Peter Torokvel"
Remember Me,https://imsdb.com/genre/Romance/Movie Scripts/Remember Me Script.html,"William Fetters, Jenny Lumet"
"Replacements, The ","https://imsdb.com/genre/Comedy/Movie s/Replacements, The .html",Vince McKewin
Repo Man ,https://imsdb.com/genre/Comedy/Movie s/Repo Man .html,Alex Cox
Revolutionary Road,https://imsdb.com/genre/Romance/Movie Scripts/Revolutionary Road Script.html,Justin Haythe
RocknRolla ,https://imsdb.com/genre/Comedy/Movie s/RocknRolla .html,Guy Ritchie
Rocky,https://imsdb.com/genre/Romance/Movie Scripts/Rocky Script.html,Sylvester Stallone
"Rocky Horror Picture Show, The ","https://imsdb.com/genre/Comedy/Movie s/Rocky Horror Picture Show, The .html","Richard O'Brien,  Jim Sharman"
Runaway Bride ,https://imsdb.com/genre/Comedy/Movie s/Runaway Bride .html,"Josann McGibbon, Sara Parriott"
Rush Hour ,https://imsdb.com/genre/Comedy/Movie s/Rush Hour .html,"Ross LaManna, Jim Kouf"
Rush Hour 2 ,https://imsdb.com/genre/Comedy/Movie s/Rush Hour 2 .html,Jeff Nathanson
Rushmore ,https://imsdb.com/genre/Comedy/Movie s/Rushmore .html,"Wes Anderson, Owen Wilson"
Rust and Bone,https://imsdb.com/genre/Romance/Movie Scripts/Rust and Bone Script.html,"Jacques Audiard, Thomas Bidegain"
"Saint, The","https://imsdb.com/genre/Romance/Movie Scripts/Saint, The Script.html",Jonathan Hensleigh
"Sandlot Kids, The ","https://imsdb.com/genre/Comedy/Movie s/Sandlot Kids, The .html","David Mickey Evans, Robert Gunter"
Save the Last Dance,https://imsdb.com/genre/Romance/Movie Scripts/Save the Last Dance Script.html,"Duane G. Adler, Toni-Ann Johnson, Cheryl Edwards"
Saving Mr. Banks ,https://imsdb.com/genre/Comedy/Movie s/Saving Mr. Banks .html,"Kelly Marcel, Sue Smith"
Scott Pilgrim vs the World ,https://imsdb.com/genre/Comedy/Movie s/Scott Pilgrim vs the World .html,"Edgar Wright, Michael Bacall"
"Secret Life of Walter Mitty, The ","https://imsdb.com/genre/Comedy/Movie s/Secret Life of Walter Mitty, The .html",Steve Conrad
Semi-Pro ,https://imsdb.com/genre/Comedy/Movie s/Semi-Pro .html,Scot Armstrong
Sense and Sensibility,https://imsdb.com/genre/Romance/Movie Scripts/Sense and Sensibility Script.html,"Jane Austen, Emma Thompson"
Serial Mom ,https://imsdb.com/genre/Comedy/Movie s/Serial Mom .html,John Waters
"Sessions, The","https://imsdb.com/genre/Romance/Movie Scripts/Sessions, The Script.html",Ben Lewin
Sex and the City,https://imsdb.com/genre/Romance/Movie Scripts/Sex and the City Script.html,Michael Patrick King
Sexual Life ,https://imsdb.com/genre/Comedy/Movie s/Sexual Life .html,Ken Kwapis
Shakespeare in Love,https://imsdb.com/genre/Romance/Movie Scripts/Shakespeare in Love Script.html,"Marc Norman, Tom Stoppard"
Shallow Grave ,https://imsdb.com/genre/Comedy/Movie s/Shallow Grave .html,John Hodge
She's Out of My League,https://imsdb.com/genre/Romance/Movie Scripts/She's Out of My League Script.html,"Sean Anders, John Morris"
"Shipping News, The","https://imsdb.com/genre/Romance/Movie Scripts/Shipping News, The Script.html","E. Annie Proulx, Robert Nelson Jacobs"
Shrek,https://imsdb.com/genre/Romance/Movie Scripts/Shrek Script.html,"William Steig, Ted Elliott"
Shrek the Third ,https://imsdb.com/genre/Comedy/Movie s/Shrek the Third .html,"Peter Seaman, Jeffrey Price, Chris Miller, Aron Warner"
Sideways ,https://imsdb.com/genre/Comedy/Movie s/Sideways .html,"Rex Pickett, Alexander Payne, Jim Taylor"
Silver Linings Playbook,https://imsdb.com/genre/Romance/Movie Scripts/Silver Linings Playbook Script.html,"David O. Russell, Matthew Quick"
Simone ,https://imsdb.com/genre/Comedy/Movie s/Simone .html,Andrew Niccol
Sister Act ,https://imsdb.com/genre/Comedy/Movie s/Sister Act .html,Paul Rudnick
Six Degrees of Separation ,https://imsdb.com/genre/Comedy/Movie s/Six Degrees of Separation .html,John Guare
Sleepless in Seattle,https://imsdb.com/genre/Romance/Movie Scripts/Sleepless in Seattle Script.html,"Jeff Arch, Nora Ephron, David S. Ward"
Slither ,https://imsdb.com/genre/Comedy/Movie s/Slither .html,James Gunn
Slumdog Millionaire,https://imsdb.com/genre/Romance/Movie Scripts/Slumdog Millionaire Script.html,"Simon Beaufoy, Vikas Swarup"
Smashed ,https://imsdb.com/genre/Comedy/Movie s/Smashed .html,"Susan Burke, James Ponsoldt"
Smokin' Aces ,https://imsdb.com/genre/Comedy/Movie s/Smokin' Aces .html,Joe Carnahan
Snatch ,https://imsdb.com/genre/Comedy/Movie s/Snatch .html,Guy Ritchie
So I Married an Axe Murderer ,https://imsdb.com/genre/Comedy/Movie s/So I Married an Axe Murderer .html,Robbie Fox
Solaris,https://imsdb.com/genre/Romance/Movie Scripts/Solaris Script.html,Steven Soderbergh
Something's Gotta Give,https://imsdb.com/genre/Romance/Movie Scripts/Something's Gotta Give Script.html,Nancy Meyers
South Park ,https://imsdb.com/genre/Comedy/Movie s/South Park .html,"Trey Parker, Matt Stone, Pam Brady"
Space Milkshake ,https://imsdb.com/genre/Comedy/Movie s/Space Milkshake .html,Armen Evrensel
Spanglish ,https://imsdb.com/genre/Comedy/Movie s/Spanglish .html,James L. Brooks
St. Elmo's Fire,https://imsdb.com/genre/Romance/Movie Scripts/St. Elmo's Fire Script.html,"Joel Schumacher, Carl Kurlander"
Starman,https://imsdb.com/genre/Romance/Movie Scripts/Starman Script.html,"Bruce A. Evans, Raynold Gideon"
State and Main ,https://imsdb.com/genre/Comedy/Movie s/State and Main .html,David Mamet
Stepmom ,https://imsdb.com/genre/Comedy/Movie s/Stepmom .html,"Ronald Bass, Gigi Levangie, Elizabeth Chandler, Jessie Nelson, Steven Rogers"
"Sting, The ","https://imsdb.com/genre/Comedy/Movie s/Sting, The .html",David Ward
Storytelling ,https://imsdb.com/genre/Comedy/Movie s/Storytelling .html,Todd Solondz
"Stuntman, The ","https://imsdb.com/genre/Comedy/Movie s/Stuntman, The .html","Lawrence B. Marcus, Richard Rush, Paul Brodeur"
Sugar and Spice ,https://imsdb.com/genre/Comedy/Movie s/Sugar and Spice .html,Mandy Nelson
Sunshine Cleaning ,https://imsdb.com/genre/Comedy/Movie s/Sunshine Cleaning .html,Megan Holley
Superbad ,https://imsdb.com/genre/Comedy/Movie s/Superbad .html,"Seth Rogen, Evan Goldberg"
"Surfer King, The ","https://imsdb.com/genre/Comedy/Movie s/Surfer King, The .html",Bernard Murray Jr
Swingers ,https://imsdb.com/genre/Comedy/Movie s/Swingers .html,Jon Favreau
"Synecdoche, New York ","https://imsdb.com/genre/Comedy/Movie s/Synecdoche, New York .html",Charlie Kaufman
Tall in the Saddle,https://imsdb.com/genre/Romance/Movie Scripts/Tall in the Saddle Script.html,"Michael Hogan, Paul P Fix, Gordon Ray Young"
Tamara Drewe,https://imsdb.com/genre/Romance/Movie Scripts/Tamara Drewe Script.html,Moira Buffini
Ted ,https://imsdb.com/genre/Comedy/Movie s/Ted .html,"Seth Macfarlane, Alec Sulkin, Wellesley Wild"
Terminator,https://imsdb.com/genre/Romance/Movie Scripts/Terminator Script.html,"Harlan Ellison, James Cameron, Gale Anne Hurd, William Wisher Jr."
"Theory of Everything, The","https://imsdb.com/genre/Romance/Movie Scripts/Theory of Everything, The Script.html",Anthony McCarten
There's Something About Mary,https://imsdb.com/genre/Romance/Movie Scripts/There's Something About Mary Script.html,"Peter Farrelly, Bobby Farrelly, Ed Decter, John J. Strauss"
"Things My Father Never Taught Me, The ","https://imsdb.com/genre/Comedy/Movie s/Things My Father Never Taught Me, The .html",Burleigh Smith
Thor Ragnarok ,https://imsdb.com/genre/Comedy/Movie s/Thor Ragnarok .html,"Eric Pearson, Craig Kyle, Christopher L. Yost"
Three Men and a Baby ,https://imsdb.com/genre/Comedy/Movie s/Three Men and a Baby .html,"Jim Cruickshank, James Orr, Colline Serreau"
"Three Musketeers, The","https://imsdb.com/genre/Romance/Movie Scripts/Three Musketeers, The Script.html",David Loughery
Thunderbirds ,https://imsdb.com/genre/Comedy/Movie s/Thunderbirds .html,"Peter Hewitt, William Osborne, Michael McCullers"
Tin Cup,https://imsdb.com/genre/Romance/Movie Scripts/Tin Cup Script.html,"John Norville, Ron Shelton"
Tin Men ,https://imsdb.com/genre/Comedy/Movie s/Tin Men .html,Barry Levinson
Titanic,https://imsdb.com/genre/Romance/Movie Scripts/Titanic Script.html,James Cameron
TMNT ,https://imsdb.com/genre/Comedy/Movie s/TMNT .html,Kevin Munroe
Toy Story ,https://imsdb.com/genre/Comedy/Movie s/Toy Story .html,"Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow"
Tremors ,https://imsdb.com/genre/Comedy/Movie s/Tremors .html,"S. S. Wilson, Brent Maddock"
Tristan and Isolde,https://imsdb.com/genre/Romance/Movie Scripts/Tristan and Isolde Script.html,Dean Georgaris
Tropic Thunder ,https://imsdb.com/genre/Comedy/Movie s/Tropic Thunder .html,"Ethan Cohen, Ben Stiller, Justin Theroux"
True Lies ,https://imsdb.com/genre/Comedy/Movie s/True Lies .html,"Claude Zidi, Simon MichaǏ_l, Didier Kaminka, James Cameron"
True Romance,https://imsdb.com/genre/Romance/Movie Scripts/True Romance Script.html,Quentin Tarantino
"Truman Show, The ","https://imsdb.com/genre/Comedy/Movie s/Truman Show, The .html",Andrew Niccol
Twilight,https://imsdb.com/genre/Romance/Movie Scripts/Twilight Script.html,Melissa Rosenberg
Twilight: New Moon,https://imsdb.com/genre/Romance/Movie Scripts/Twilight: New Moon Script.html,"Melissa Rosenberg, Stephenie Meyer"
Twins ,https://imsdb.com/genre/Comedy/Movie s/Twins .html,"William Osborne, William Davies, Timothy Harris, Hershel Weingrod, William Goldman"
Two For The Money ,https://imsdb.com/genre/Comedy/Movie s/Two For The Money .html,Dan Gilroy
"Ugly Truth, The ","https://imsdb.com/genre/Comedy/Movie s/Ugly Truth, The .html","Nicole Eastman, Tracey Jackson, Peter Hume, David Diamond, David Weissman, Roger Kumble"
Un Singe en Hiver ,https://imsdb.com/genre/Comedy/Movie s/Un Singe en Hiver .html,"Michel Audiard, Antoine Blondin, FranǏ_ois Boyer"
Up ,https://imsdb.com/genre/Comedy/Movie s/Up .html,"Pete Docter, Bob Peterson, Thomas McCarthy"
Up in the Air,https://imsdb.com/genre/Romance/Movie Scripts/Up in the Air Script.html,"Jason Reitman, Sheldon Turner"
Vanilla Sky,https://imsdb.com/genre/Romance/Movie Scripts/Vanilla Sky Script.html,Cameron Crowe
Very Bad Things ,https://imsdb.com/genre/Comedy/Movie s/Very Bad Things .html,Peter Berg
"Visitor, The","https://imsdb.com/genre/Romance/Movie Scripts/Visitor, The Script.html",Thomas McCarthy
Wag the Dog ,https://imsdb.com/genre/Comedy/Movie s/Wag the Dog .html,David Mamet
"Walk to Remember, A","https://imsdb.com/genre/Romance/Movie Scripts/Walk to Remember, A Script.html",Karen Janszen
Wall-E ,https://imsdb.com/genre/Comedy/Movie s/Wall-E .html,"Andrew Stanton, Pete Docter"
Water for Elephants,https://imsdb.com/genre/Romance/Movie Scripts/Water for Elephants Script.html,Richard Lagravenese
White Christmas ,https://imsdb.com/genre/Comedy/Movie s/White Christmas .html,"Norman Krasna, Melvin Frank, Norman Panama"
Who's Your Daddy ,https://imsdb.com/genre/Comedy/Movie s/Who's Your Daddy .html,"Maria Veltre Druse, Jack Sekowski"
Wild At Heart,https://imsdb.com/genre/Romance/Movie Scripts/Wild At Heart Script.html,David Lynch
Wild Hogs ,https://imsdb.com/genre/Comedy/Movie s/Wild Hogs .html,Brad Copeland
Wild Wild West ,https://imsdb.com/genre/Comedy/Movie s/Wild Wild West .html,"S. S. Wilson, Brent Maddock, Jeffrey Price, Peter S. Seaman, Jim Thomas, John Thomas"
Willow ,https://imsdb.com/genre/Comedy/Movie s/Willow .html,"George Lucas, Bob Dolman"
Win Win ,https://imsdb.com/genre/Comedy/Movie s/Win Win .html,Tom McCarthy
Withnail and I ,https://imsdb.com/genre/Comedy/Movie s/Withnail and I .html,Bruce Robinson
Witness,https://imsdb.com/genre/Romance/Movie Scripts/Witness Script.html,"Earl W. Wallace, Pamela Wallace, William Kelley"
"Wolf of Wall Street, The ","https://imsdb.com/genre/Comedy/Movie s/Wolf of Wall Street, The .html","Terence Winter, Jordan Belfort"
Wonder Boys ,https://imsdb.com/genre/Comedy/Movie s/Wonder Boys .html,Steven Kloves
Year One ,https://imsdb.com/genre/Comedy/Movie s/Year One .html,"Harold Ramis, Gene Stupnitsky, Lee Eisenberg"
Yes Man ,https://imsdb.com/genre/Comedy/Movie s/Yes Man .html,"Nicholas Stoller, Danny Wallace"
You've Got Mail,https://imsdb.com/genre/Romance/Movie Scripts/You've Got Mail Script.html,"Nora Ephron, Delia Ephron"
Youth in Revolt ,https://imsdb.com/genre/Comedy/Movie s/Youth in Revolt .html,Gustin Nash
Zerophilia ,https://imsdb.com/genre/Comedy/Movie s/Zerophilia .html,Martin Curland
Zootopia ,https://imsdb.com/genre/Comedy/Movie s/Zootopia .html,"Jared Bush, Phil Johnston"
